post_id,from_id,likes,reposts,text,comments,views,date
3870,-5193138,2,0,"12 постеров в коридоре здания Двенадцати коллегий СПбГУ. В сердце Петербургского университета открыли выставку к 100-летию преподавания рентгенологии как самостоятельного учебного курса. Экспонаты выставки в дальнейшем будут использованы при создании виртуального музея истории отечественной рентгенологии. Познакомиться с постерами и рассмотреть книги можно до 6 мая. 
 
Автор – Мария Полухтина

#МОСТ 
#СПбГУ 
#Выставка",1,124,1681331304
3869,-5193138,4,0,"Кафедра мастерства художника кино и телевидения Факультета искусств Санкт-Петербургского университета организовала в Доме Кино открытую выставку студенческих работ, на которой представлены все три специальности: художник-постановщик, художник по костюму, художник мультипликационного фильма. Попасть на выставку «Три дороги – один путь» можно вплоть до июля. 
 
Автор - Серафима Сердюкова

#МОСТ 
#СПбГУ 
#Выставка",1,118,1681331208
18268,-36125375,49,0,"Проснулся утром – прибери свою планету🌹

Маленький принц многому научился у лиса. Наверное, невозможно оставаться равнодушным к тому, кого ты хоть чуть-чуть, но приручил.
На этих выходных гранатинки посетили [club109607644|приют для животных ""Добрый городок""]. Они выгуляли подопечных приюта, поиграли и поухаживали за ними, зарядившись теплом и позитивом в компании очаровательных животных и друг друга!

Даже если у вас не получилось присоединиться – не расстраивайтесь. Вы можете помочь приюту своим визитом, материально или распространением информации. Подробную информацию можно найти в [club109607644|этой группе.]

#СПОГранат #МыВместеГранат #СПбСО #СПбГУ",0,1141,1681322402
4642,-108932908,2,2,"🔥 Санкт-Петербургские студенческие соревнования
Анонс на май 2023

🥋 Каратэ (ВКФ) 
14 мая 2023
СШОР № 1 Невского района (ул. Ольги Бергольц д.15)

🚴‍♂ Маунтинбайк 
14 мая 2023
г. Петергоф, Троицкая гора

Требования: 
- быть студентом #СПбГУ или выпускником 2022 года
- возраст в соответствии с Положением
- иметь медицинский допуск 

 ✍Контактное лицо: заведующий Спортивным клубом #СПбГУ - Коротченков Дмитрий Константинович (d.korotchenkov@spbu.ru)

 ❗Положения и регламент во вложении

#СПбГУспорт
#SPbUsport",0,699,1681322071
52274,-52298374,23,0,"Проблема стабилизации углового положения искусственного спутника Земли — одна из важнейших задач космодинамики. Чтобы спутники могли корректно выполнять космические миссии, необходимо обеспечить точную программу вращательного движения относительно центра масс. Этот вопрос тем или иным способом решается с самого начала космической эры.

Математики #СПбГУ разработали комбинированный метод стабилизации космических спутников, основанный на суперпозиции — комбинации — двух управляющих моментов, каждый из который порождается магнитным полем Земли: https://vk.cc/cn3ZEh.",0,3907,1681318860
4282,-194548696,35,2,"🏆Покоряем вершину [club202446718|«ТехноОлимпа»]

⚙️Третий день — экватор. Работа кипит, проекты разрабатываются, ребята готовятся к предзащите.

💡Какая была повестка дня?

🔥День начался с самопрезентации участников.

🧠Были проведены:
▫️ Мастер-класс «Самопрезентация: как преподнести себя и произвести нужное впечатление», Бобрович Ксения Игоревна, педагог-организатор ГБУДО «ЦРТ»; 
▫️Гостевая лекция «Основы защиты интеллектуальной собственности», Никифоров Иван Андреевич, студент 1 курса магистратуры, руководитель Студенческого научного кружка интеллектуальной собственности и информационных технологий [club52298374|СПбГУ];
▫️Чекпоинт с экспертами;
▫️Доработка проекта в менторами.

🧩День завершился предзащитой.

💫Скоро мы увидим результаты работы!

📸 Фото: https://clck.ru/346vLv

#кванториум #кванториумСПб #СПбГУ #SPbU #олимпиадашкольниковСПбГУ #spbutech #ОШТП",0,1809,1681318803
1026,-67017655,5,5,"[club67017655|Регистрация зрителей]
 
Наши талантливые участники уже встали на дорожку приключений и активно идут по ней к своей цели. 
 
Поэтому мы открываем регистрацию для тех, кто желает понаблюдать за данным неординарным событием! 
 
Скорее регистрируйтесь по ссылке: https://vk.cc/cn4KGR
Дедлайн: 24 апреля, 23:59. 

Мы ждем каждого! 
 
#ШСО_СПбГУ #СПбГУ #СПбСО #ЛитМуз #ЛитМузСПбГУ",0,227,1681316547
5893,-105699871,18,1,"Всем приФФки от группы «[https://vk.com/id_tarrrrrrrr|Один] [https://vk.com/leforelle|стул с] [https://vk.com/yanillonn|калмыцким] [https://vk.com/id310651387|чаем и] [https://vk.com/id286450735|викторией, пожалуйста]» из 2009 😎💥 

Так как мы ещё не очень хорошо знаем друг друга, мы решили помимо ответов на вопросы о причинах поездки на смену и вещах составить небольшие анкеты, чтобы вы узнали о нас больше. Многое может сказать и количество указанной информации, и визуальное оформление)) ⚡⚡⚡ 
 
Небольшое лирическое дополнение: 
 
Друзья наши милые! 
Мы анкету завели. 
Очень хочется узнать: 
Как вас лучше величать, 
Хотите что на смену взять, 
Что вы любите читать, 
Стать хотите в жизни кем, 
В лагерь едете зачем, 
И о чём мечтаете. 
Может, вы не знаете? 
Так возьмите, посмотрите, 
(никому не говорите...) 
Может быть, анкета эта 
Не оставит без ответа 
Наш вопрос: «Так кто же это?» 
Ну, достаточно советов, 
Первые — наши ответы... 
 
Предлагаем всем заполнить анкетки (шаблоны ищите в комментах)!!! 💌🦉

#СПО_Сказка #СПбГУ #ШСО_СПбГУ #ОтрядыГУ #СПО #СПбСО #СПб #Совята",16,333,1681315381
1663,-200548350,37,1,"🌿 НА ШАГ БЛИЖЕ К ЛЕТУ 🌿

Бойцы и кандидаты [club200548350|СЭО «Можжевельник»] на прошлой неделе посетили Ботанический сад СПбГУ с экскурсией по субтропическому маршруту. 

[id152365156|Настя: ]Нам рассказали историю здания 12 коллегий и оранжерей ботанического сада, показали редкие голосеменные, познакомили с флорой Австралии. Было очень приятно окунуться в жаркий субтропический денек, подышать ароматом цветущих азалий и вспомнить, что совсем скоро уже наступит лето!

#СЭО_Можжевельник #СЭО_СПб #СПбГУ #ШСО_СПБГУ #СПбСО",2,753,1681313400
2992,-60845585,7,1,"Фестиваль проводит [club125900728|Благотворительный фонд ""Сохранение культурного наследия ""Белый Ирис""]

#афишаспбгу #афишаспбгу_календарь #фолкспбгу #spbsufolk #спбгу #spbu",2,250,1681310116
10541,-7488307,10,11,"Все команды показали свои встречи, а значит пора выбирать ✨

Вы можете проголосовать за то видео, которое на ваш взгляд достойно Приза зрительских симпатий! Голосование продлиться до 13 апреля 18:00 ⏰

А если вы хотите пересмотреть эти шедевры, то у вас есть такая возможность👇

[https://vk.com/wall-7488307_10508|Видео от команды CHILL ZONE]
[https://vk.com/wall-7488307_10488|Видео от команды ЧИВАУВА]
[https://vk.com/wall-7488307_10447|Видео от команды UNO]
[https://vk.com/wall-7488307_10445|Видео от команды SHEIKER]

#СПО_РОС #ЗажигаемСердца #Since1979 #СПбСО #СПбГУ",0,376,1681309800
52272,-52298374,27,2,"В Солнечной системе обнаружено около миллиона астероидов. Какие из них представляют опасность для Земли и других планет, выяснили исследователи #СПбГУ: https://vk.cc/cfPvkU.

Один из самых известных астероидов, для которого учёные точно установили тесное сближение с Землёй в будущем, — Апофис. Установлено, что этот объект диаметром около 300–400 метров 13 апреля 2029 года приблизится к Земле на расстояние около 38 тыс. километров.",0,4090,1681304521
32,-211988289,0,0,"12 апреля 2023 г. состоялся «Урок профориентации» для обучающихся общеобразовательной школы №274 Кировского района. 
 
В мероприятии приняли участие 17 учащихся 11-А класса. Они познакомились с историей развития Санкт-Петербургского государственного университета, образовательными программами, правилами приема. Подробнее были освещены вопросы поступления на образовательные программы бакалавриата и магистратуры по направлению «Социальная работа». 
Учащиеся узнали о специфике деятельности специалиста по социальной работе, сферах занятости, навыках и компетенциях, приобретаемых в процессе обучения и необходимых в данной профессиональной сфере, карьерных перспективах. 
 
Урок был подготовлен сотрудниками Социальной клиники и студентами 3 и 4 курса основной образовательной программы бакалавриата по направлению подготовки «Социальная работа».

#социальнаяклиника @социальнаяклиника #спбгу @спбгу #социальнаяработа @социальнаяработа",0,29,1681301003
3863,-5193138,6,1,"В здании Двенадцати коллегий Санкт-Петербургского государственного университета прошла ежегодная международная образовательная акция Тотальный диктант. Ее участники собрались, чтобы проверить свою грамотность и открыть для себя русский язык заново. 
 
Автор – Алина Клинникова

#МОСТ 
#СПбГУ 
#Тотальныйдиктант",1,247,1681295315
27777,-122155453,23,16,"13 апреля пройдет пять онлайн-лекций по итогам Олимпиады школьников СПбГУ 2022/2023 учебного года: по иностранному языку, медицине, филологии и химии.
 
Не упускайте возможность задать свой вопрос и получить ответ на него в прямом эфире! 
 
График и ссылки на трансляции: https://vk.cc/c6Zy9L 
 
#СПбГУ #SPbU #олимпиадашкольниковСПбГУ #olympiad",0,4497,1681291116
587,-193935630,13,1,"Вырезка из газеты со статьей «Температура звезд».
Статья напечатана в одну колонку. Под названием статьи подзаголовок: «Открытие Ленинградского астронома». Статья посвящена открытию профессора ЛГУ В.В. Соболева.
 
Соболев В.В. (1915-1999) - астрофизик-теоретик. Основные работы относятся к теории переноса излучения в астрофизических средах и к физике газовых туманностей и наружных слоев звезд. 

#СПбГУ #МузейисторииСПбГУ",0,184,1681282802
504,-202446718,4,0,"Друзья! 

Прикрепляем программу Заключительного этапа Олимпиады школьников по технопредпринимательству «ТехноОлимп» для участников и для сопровождающих 📃

А еще настоятельно рекомендуем заглянуть в фотоальбом нашей группы, найти себя и отправить фотографию друзьям и родителям 📸

Коллекция фотоотчетов будет ежедневно пополняться, поэтому не забывайте мониторить группу 😉

#СПбГУ #SPbU #кванториум #кванториумСПб #олимпиадашкольниковСПбГУ #spbutech #ОШТП",0,163,1681245000
4268,-194548696,47,3,"🏆Покоряем вершину [club202446718|«ТехноОлимпа»]

⚙️Второй день позади. Что было в планах у ребят? Работа, работа, работа!

🔥День начался с мастер-класса «Жизненный цикл проекта», а также участники приступили к работе над кейсовым заданием. 

🧠Были проведены:
▫️Мастер-классы;
▫️Гостевая лекция «Управление основными компонентами старт-ап проекта — путь от идеи до продукта на рынке», Рыбакова Юлия Владимировна, кандидат экономических наук, старший преподаватель кафедры экономики предприятия, предпринимательства и инноваций [club52298374|СПбГУ], директор по маркетингу [club48126463|GS Group холдинг].
▫️Прототипирование и макетирование, работа на оборудовании.

🧩День завершился предзащитой.
 
💫С нетерпением ждем результаты команд!

📸 Фото: https://clck.ru/346vLv

#кванториум #кванториумСПб #СПбГУ #SPbU #олимпиадашкольниковСПбГУ #spbutech #ОШТП",0,1971,1681232402
502,-202446718,17,2,"Заключительный этап Олимпиады школьников по технопредпринимательству «ТехноОлимп» 🏆

10 апреля на площадке Санкт-Петербургского государственного университета состоялась Церемония открытия заключительного этапа Олимпиады школьников по технопредпринимательству «ТехноОлимп». Олимпиада проводится [https://vk.com/spbu_abiturient|СПбГУ] совместно с [https://vk.com/kvantorium78|ГБУДО «ЦРТ» (Кванториум Санкт-Петербург)] ✨

В заключительном этапе олимпиады принимают участие более 100 школьников из 12 регионов Российской Федерации 🇷🇺

На торжественном открытии выступили первый проректор по молодежной политике и организации приема СПбГУ Александр Бабич, временно исполняющая обязанности директора Кванториума Санкт-Петербург Светлана Аксенова, а также Александр Кошелев, начальник отдела развития технологической инфраструктуры Комитета по промышленной политике, инновациям и торговле Санкт-Петербурга, и Янина Рычкова, заместитель директора Центра «Мой бизнес» Санкт-Петербург (СПб ГБУ «ЦРПП») 💬

Впереди – мастер-классы, лекции, тренинги и работа над кейсами, представленными компаниями-работодателями. В конце недели участникам предстоит защитить проекты по направлениям перед жюри олимпиады 💥

Партнерами Олимпиады выступают Банк ВТБ (ПАО), Холдинг Setl Group, 
АО «Технопарк Санкт-Петербурга», Таврида Электрик, НИПК Электрон, Санкт-Петербург Экология, ТАСИС и др. 

Желаем удачи и продуктивной недели участникам и наставникам! 🍀

#СПбГУ #SPbU #кванториум #кванториумСПб #олимпиадашкольниковСПбГУ #spbutech #ОШТП",0,3582,1681229653
52268,-52298374,272,44,"Университет вновь стал одним из центров проведения всероссийской акции «Тотальный диктант». Текст читала директор Института когнитивных исследований #СПбГУ, профессор Татьяна Черниговская: https://vk.cc/cn2C47.

По мнению Татьяны Владимировны, грамотность — загадочная вещь. С одной стороны, врождённой грамотности быть не может. С другой стороны, она всё же существует.

«Слишком много примеров, когда люди по причинам непонятным пишут абсолютно грамотно. Почему другие не пишут грамотно, а эти пишут? У меня нет ответа», — рассказала Татьяна Черниговская.",0,16432,1681229280
34018,-38358331,20,8,"#ШколаЖурналистикиПУ@5uglov 

Как начинающему журналисту заработать на хлеб?

Через несколько месяцев в вузах начнется летняя практика и каждый студент журфака думает: ""Куда устроиться? Для кого писать?"" 🧐

[id198868481|Маргарита Логинова] посетила семинар преподавателя СПбГУ и собрала несколько советов начинающим журналистам:
📝https://5uglov.ru/post/18502_kak_nachinauschemu_zhurnalistu_zarabotat_na_hleb 

#журналистика #журфак #СПбГУ #ПятьУглов #СанктПетербург",0,470,1681226100
1655,-200548350,31,5,"🔨  ВАХТА  🔨

Делимся с вами радостными новостями! С 6 по 8 мая мы поедем на [club142483975|зооферму ""Приют Белоснежки""], чтобы провести уже нашу третью трудовую вахту.

Вахта — это небольшой «пробник» сезона, на котором вы сможете на практике оценить весь спектр нашей работы, открыть отряд для себя с новой стороны, а также узнать много нового о дикой природе.

А пока вы ждёте все подробности о вахте в нашем инфо-чате, смотрите что ещё можно успеть сделать за вахту!

#СЭО_Можжевельник #СЭО_СПб #СПбГУ #ШСО_СПБГУ #СПбСО",4,407,1681225200
2432,-176553372,17,0,"И вновь — пятница! 

А это значит, что, во-первых, лето стало на неделю ближе, а во-вторых — всё меньше собраний отделяют кандидатов от становления частью нашей сладкой яблочной семьи 💚 

В стенах ДК им. Кирова, где нас приютило молодёжное пространство [club181521664|«ПРОСТО»], непревзойдённый [id223251555|Петя], боец 2020 года и экс-мастер ССхО «Повидло» 2021 года, провёл лекцию, посвящённую роли походов в нашей жизни на сезоне 🏕 

Мы обсудили:
🏞 что нужно и чего не нужно брать с собой в горный поход;
🏞 почему важно продумывать маршрут заранее;
🏞 и к чему может привести неудачный выбор места для установки палатки. 

Конечно, не обошлось без историй с сезонов, которыми бойцы с радостью поделились с ребятами и друг другом. Затем слово взял наш бравый [id560814343|командир], чтобы рассказать о пяти чудесных, интирующих и таких манящих буквах... Да-да, речь шла о Вахте! ✨️

А в завершение вечера наш комиссар [id307490326|Аня] провела уютную свечку, где каждый смог погрузиться в свои мысли и найти внутренний покой🧘‍♀️

#ССхО_Повидло #СПбГУ #ШСО_СПбГУ #ССхО_СПб #СПбСО",2,395,1681218003
2743,-202110937,2,0,"НОВОСТИ:

Ученые СПбГУ определили почвы, из которых было сооружено дерево-земляное сооружение Меншикова бастиона Петропавловской крепости

Почвоведы Санкт-Петербургского университета изучили почвы дерево-земляного Меншикова бастиона на территории Петропавловской крепости в Санкт-Петербурге. Оказалось, что древесине, из которой был сооружен бастион, уже более 500 лет. Результ...

#ОбразованиеПресс 
#СПбГУ 
#Почвоведение 
#Палеопочвоведение 
#МеньшиковБастион 
#РАН 
#РазвитиеНауки 
#НовостиНауки 
#РоссийскаяНаука

Ознакомиться с текстом новости полностью и оставить комментарий вы можете по ссылке: https://obrazovanie.press/card/531bd8e5-d6b5-48ec-a50e-97fd23ce0f5f",0,322,1681216419
27774,-122155453,15,6,"Друзья! Опубликованы результаты отборочного этапа Олимпиады школьников по истории Санкт-Петербурга: https://vk.cc/cn2rBs

Это совместный проект Санкт-Петербургского государственного университета и Санкт-Петербургского государственного бюджетного учреждения культуры «Музейно-выставочный центр» ([club153265013|""Россия - Моя история"" Санкт-Петербург]).

Победители и призеры Олимпиады получат дополнительные баллы при поступлении в СПбГУ (подробнее: https://vk.cc/ciM77G):

#СПбГУ #SPbU #olympiada #ДругиеОлимпиадыСПбГУ",0,6326,1681215805
52265,-52298374,103,15,"Первый заместитель декана [club650|восточного факультета] СПбГУ профессор Алексей Родионов награждён благодарностью президента России «за заслуги в научно-педагогической деятельности, подготовке квалифицированных специалистов и многолетнюю добросовестную работу»: https://vk.cc/cn298U.

Алексей Анатольевич — признанный учёный-китаевед, автор художественных переводов и научных публикаций в области изучения современной китайской литературы. Благодаря его экспертному и учебно-методическому участию количество образовательных программ Университета с китайским компонентом за десять лет увеличилось с 16 до более чем 40 наименований. А число студентов, изучающих в #СПбГУ китайский язык, выросло в три раза и превысило тысячу человек.

Поздравляем!",0,7530,1681214521
10508,-7488307,29,1,"И завершают наш марафон ребята из команды CHILL ZONE, кажется, у них была насыщенная вечериночка 🤩

🔥В воскресенье 10 апреля команда ""CHILL ZONE"" решила провести свою вечеринку🔥

Каждый из участников команды и сами наставники подготовили презентации о себе 😏
Мы смогли:
💜Узнать друга друга получше 
💜Повеселиться от души 
💜Потанцевать 
💜Почувствовать настоящий чилл 

Если ты хочешь узнать, как это было, то смотри скорее наше видео…

#СПО_РОС #ЗажигаемСердца #Since1979 #СПбСО #СПбГУ",6,516,1681214403
10488,-7488307,45,4,"Команда ЧИВАУВА не отстаёт и тоже спешит поделиться тем, как прошла их первая встреча ✨

Когда зло пробуждается после многолетнего сна и приходит в наш мир, чтобы погубить его, кто встанет на защиту мирной и спокойной жизни?… 

Было темно и холодно на заброшенном складе. Но это не остановило группу супергероев, которые решили устроить там самую улётную вечеринку. Они пришли в своих костюмах и масках, чтобы не раскрывать своей идентичности. Ведь это была не просто вечеринка, а секретное собрание, на которое их тайно позвали супергеройские наставники.

Среди гостей были Книгочей, Женщина-кошка, Мисс Пунктуальность, Супер-Бабка, Ванилопа фон кекс, Альфа и Омега, Кармен 123 и гопник Башка. Они веселились, знакомились и обменивались историями своих подвигов, параллельно обсуждая тайную миссию по спасению мира, на которую они должны были отправиться во имя добра и справедливости. 

Вскоре наши друзья пройдут подготовку и отправятся на суперсекретную миссию, о которой не знает никто, кроме них самих… ну, и нас с вами🤫

Удастся ли героям остановить зло и избавить мир от угрозы уничтожения?

#СПО_РОС #ЗажигаемСердца #Since1979 #СПбСО #СПбГУ",25,799,1681210801
10447,-7488307,38,9,"А следующие у нас на очереди команда UNO и их клип о том, как прошла долгожданная встреча 💚

Думаем, вам не терпится узнать как прошла встреча команды «UNO»🃏Читайте ниже, ведь там произошло столько интересного…

Сначала ребята следовали за наставниками от станции к станции, чтобы в итоге добраться до заветного Тридевятого королевства! Ребята играли в игры на знакомство, на сплочение, в игры-пятиминутки и многие другие✨

Когда все сказочные герои добрались до стен дворца, началось само веселье:  мы поели пиццу и другие вкусняшки,поиграли в игру «Опиши мемом», ответили на все вопросы «Своей игры» от наставников и закончили всё игрой «Категории и роды», благодаря которой появилось много мемов нашей команды!

P.S. Тут будут самые частые фразы,что мы говорили и которые уже стали нашими коронными!

«У нас тут КОНФИЛКТ» ©️вся команда “UNO”

«Паша, я уже сильно начинаю злиться»©️Марго 

«Какой DC?! Ты говорил H&M» ©️все ещё Марго, которая очень не хотела проигрывать 

«No,No,No! Listen listen» ©️Полина 

«-Казначей! 
-Да, почти. Только это комендант»
©️ребята, которые забыли слово комендант, но знали что казначей отвечает за деньги
И, конечно, самое смешное: 
*непередаваемый* смех Вити, когда он видел свой мем среди остальных, а за ним фраза «Вить, твой мем?»

#СПО_РОС #ЗажигаемСердца #Since1979 #СПбСО #СПбГУ",43,936,1681207203
