post_id,from_id,likes,reposts,text,comments,views,date
3298,-26901903,8,2,"СТУДЕНЧЕСКАЯ ВЕСНА
городской этап 

💫 Сегодня стартовал городской этап [club116804532|Студенческой весны]. Открыло марафон ярких выступлений театральное направление. Но у вас ещё есть возможность поддержать любимых артистов! 

💃🏻 19 и 20 апреля — Оригинальный жанр и  Танцевальное направление:
• порядок выступлений опубликован на сайте: https://vk.cc/cn3Ep1; 
• форма для регистрации болельщиков доступна до 12:00 16 апреля: https://vk.cc/cn3DXn;
• адрес: Ленинский проспект, д. 4, стр.1, Университет МИСИС. 

🎻 20 апреля — Инструментальное направление:
• программа стартует в 9:00 и продлится до 15:00. Порядок выступлений: https://vk.cc/cn3Ep1; 
• форма для регистрации болельщиков доступна 20:00 18 апреля: https://vk.cc/cn46Wy;
• адрес: Ярославское шоссе, д. 26, НИУ МГСУ.

Информация о вокальном направлении появится позже в [club116804532|официальном сообществе Студвесны]. 

🙌🏻 Собирай команду болельщиков и регистрируйся в качестве зрителя. Поддержим делегацию МГУ на пути к победе!

#МСВ2023 #студвесна #РСММосква #МолодежьМосквы #КультурныйцентрМГУ #творчествоМГУ #МГУ",0,173,1681409700
1118,-92972603,1,1,"Присоединяйтесь к театральному диалогу!

Дорогие друзья! Мы рады пригласить вас завтра, 14 апреля в 12.30 на встречу в рамках факультетской творческой лаборатории «Театральный диалог». На мероприятии у вас будет уникальная возможность пообщаться с художественным руководителем Московского драматического театра имени А.С. Пушкина Евгением Александровичем Писаревым и директором театра Владимиром Ивановичем Жуковым.

Стоит отметить, что театр имени Пушкина – уникальный. Он имеет более чем вековую историю. Открывшись в 1914 году, как Камерный театр под руководством своего основателя и режиссёра Александра Яковлевича Таирова, быстро нашёл своего зрителя. Благодаря репертуарной смелости и стремлению А.Я. Таирова увести сознание аудитории за рамки спектакля, чтобы вникнуть в существенные явления жизни, каждая постановка была ярким культурным событием.

Своё нынешнее название театр получил осенью 1950-го года. С тех пор художественными руководителями театра были такие великие мастера сцены, как Василий Васильевич Ванин, Борис Александрович Бабочкин, Иосиф Михайлович Туманов, Борис Иванович Равенских, Борис Никитич Толмазов, Алексей Яковлевич Говорухо, Борис Афанасьевич Морозов, Юрий Иванович Еремин, Роман Ефимович Козак.

В театре служило и служит созвездие ярчайших и талантливейших отечественных артистов, в числе которых Вера Алентова, Дмитрий Астрахан, Валерий Баринов, Виктор Вержбицкий, Ольга Волкова, Лариса Голубкина, Павел Деревянко, София Евстигнеева, Михаил Жаров, Михаил Жигалов, Виктория Исакова, Владимир Меньшов, Юлия Меньшова, Валерий Носик, Андрей Панин, Александр Пороховщиков, Фаина Раневская, Константин Райкин, Кирилл Серебренников, Георгий Тараторкин, Николай Фоменко, Игорь Ясулович.

Наши гости, Евгений Александрович Писарев и Владимир Иванович Жуков, поделятся ценными идеями, опытом и знаниями, расскажут о своей работе в театре и его особенностях, о творческих процессах, которые происходят вне поля зрения аудитории. 
Напомним, что инициатор создания и руководитель творческой лаборатории «Театральный диалог» - начальник Управления театров и концертных организаций Департамента культуры г. Москвы, доцент нашего факультета Наталья Викторовна Дрожникова. 
В рамках этого проекта проходят уникальные встречи с топовыми спикерами театральной сферы. Для студентов - это крайне важные встречи для профессионального развития и роста, ведь именно из первых уст они узнают обо всех нюансах и жизни, которая кипит за театральными кулисами.

Ждем вас на встрече!

#msu #hsscm #мгу #вшкпиугс #театр #культурнаяполитика",0,51,1681403022
3296,-26901903,12,4,"МУЗЫКА ВСЕЛЕННОЙ 
альбом концерта терменвокса и органа

💫 Вчера в Культурном Центре звучала космическая музыка!   

[club59370884|Петр Термен] рассказал об устройстве единственного в мире бесконтактного музыкального инструмента, а слушателям удалось попробовать сыграть на нем. 
В программе вечера прозвучали шедевры классической музыки в исполнении нетривиального дуэта — терменвокса и [club118401089|органа]. 

🙌🏻 Благодарим Петра и [id11312138|Юлию Лотову] за уникальный концерт! И делимся памятными моментами, запечатленными [id366756880|Евгенией Гудилиной]. 

#КультурныйцентрМГУ #творчествоМГУ #музыкаМГУ #МГУ #денькосмонавтики",1,225,1681402620
29604,-180763733,1,0,"Главное здание МГУ, Москва 

Главное здание МГУ — центральное здание университетского комплекса Московского государственного университета на Воробьёвых горах. Самая высокая из семи построенных сталинских высоток. Высота — 183,2 метра, этажность центрального корпуса — 32. Высота основания над уровнем моря — 194 м зтажа.

Архитектурный стиль: сталинский ампир 
Дата постройки: 1949-1953 годы 

#сталинскийампир #МГУ #высотноездание #Москва #архитектура",0,55,1681402470
277685,-22163635,106,5,"Главное здание МГУ, Москва 

Главное здание МГУ — центральное здание университетского комплекса Московского государственного университета на Воробьёвых горах. Самая высокая из семи построенных сталинских высоток. Высота — 183,2 метра, этажность центрального корпуса — 32. Высота основания над уровнем моря — 194 м зтажа.

Архитектурный стиль: сталинский ампир 
Дата постройки: 1949-1953 годы 

#сталинскийампир #МГУ #высотноездание #Москва #архитектура",5,3005,1681401660
25262,-215474125,50,1,"Покоритель вершин!

А вы знаете, как приятно осознавать, что у тебя получается развиваться в любимом деле? Как только я узнала, что прошла на завершающий этап олимпиады ""Покори Воробьёвы Горы"" по журналистике, моему счастью не было предела. Мне казалось, что выйти в следующий этап будет очень трудно, ведь это олимпиада от МГУ и там только лучшие из лучших, но как оказалось и я вошла в их число.

Вот так вот смотришь на масштаб работы, которую ты уже проделал, и хочется пуститься в пляс. Да, дальше этого будет только больше, постоянное саморазвитие, поиск себя, поступление в вуз и многое другое, но когда ты работаешь в свое удовольствие, то это не может не радовать.

На подготовку у меня было две недели. Долго это или мало, я не знаю. За это время мне удалось углубиться в биографии знаменитых писателей, прочесть более 50 произведений, а также освежить свои знания в истории нашей страны. Для журналиста очень важно знать историю и уметь грамотно распоряжаться своими мыслями, ведь как можно освещать культуру или науку, не зная как все зародилось.

Придя на олимпиаду, я была спокойна, ведь опыт участия в подобных конкурсах у меня имеется. И вот этот момент, нам раздают задания и мы начинаем писать. Первое, что мне предстояло сделать - это журналистский материал на тему: ""80-летие победы в Сталинградской битве"" и интервью с маршалом А.И.Еременко, далее сочинение - рассуждение на тему: ""Подвиги Великой Отечественной войны"". Сказать что я обрадовалась данным темам - это считай ничего не сказать. Как же было приятно писать про свою родину и свой город. Меня поистине восхищает историю моего Волгограда.
После завершения олимпиады корреспондент из газеты ""Московский Комсомолец"" взял у меня интервью. Я рассказала, почему же хочу стать журналистом и как данная олимпиада поможет мне в будущем.

Новые возможности, которые открываются каждый день, дают мне понять, что я двигаюсь в нужном направлении. Множество конкурсов, в которых мне удается занимать призовые места, интервью, поездки в другие города и многое другое происходит в моей жизни на постоянной основе, а ведь когда-то это была моя мечта. 
#ншм #новоешкольноемедиа #резиденты #МГУ",10,846,1681401601
27736,-90105759,2,0,"Учись, студент! Юноша с книгой у МГУ... Всем хорошего вечера!

#заовфото #раменки #мгу",0,48,1681397608
4,-219808648,27,4,"Друзья! Пора познакомиться с командой проекта: [id142318382|Иван], [id188369831|Ника], [id211715413|Егор]. Мы студенты 2 курса легендарного журфака МГУ. Команда мечты, как мы себя называем. Человеку очень важно уметь мечтать. Без мечтателей не было бы развития общества и искусства, научных и географических открытий. Писатели, художники, композиторы, режиссеры, ученые – великие мечтатели. Они делятся своими мечтами с нами, они побуждают нас мечтать и доказывают своим примером, что даже самые невероятные мечты воплощаются в жизнь. Художник мечтает написать картину, рисует ее в своем воображении и создаёт шедевр. Путешественник мечтает открыть новые земли, в существование которых никто не верит, и он находит их, пусть даже на другом конце света. Ученый мечтает о космических полетах, и вот человечество уже оставило свои следы на Луне. И получается, что главное сокровище для человека – это мечта! Именно она начало всего грандиозного, что создало или еще создаст человечество. А что буквально с первых лет жизни и до последнего вздоха учит человека мечтать и претворять мечты в жизнь? Книга! Мы вместе с вами создадим нашу общую книгу. Каждый автор получит ее в подарок! Не бойтесь мечтать, творить и делиться своим талантом с миром! Мы ждем ваши тексты https://forms.gle/oaKqxiyQuwzR82EY6! Первым авторам мы приготовили сюрпризы, о которых вам обязательно расскажем! Обещаем, что приятных неожиданностей и в дальнейшем будет много.
#твойход #твойход2023 #всероссийскаястуденческаялетопись #мгу #журфакмгу",0,386,1681396453
1069,-193162019,24,4,"🔍КВЕСТ-ЭКСКУРСИЯ по территории МГУ

🎉В среду, 12 апреля [club193162019|Международный центр Студенческого союза МГУ], в рамках конференции «Ломоносов-2023», провёл квест-экскурсию по территории МГУ для Иностранных студентов и учащихся других российских ВУЗов.

🧭Ребята прошли длинный путь от главного здания - «сердца» МГУ, до Воробьёвых гор. На протяжении маршрута ребята решали ребусы, ответы на которые позволяли им двигаться вперёд к следующим пунктам назначения, повторяли фотографии с сайтов МГУ, слушали рассказы о разных факультетах и выполняли множество разнообразных заданий, подготовленных для них [club193162019|Student International Center MSU] .

💡 Не обошлось и без интересных фактов! Ребятам удалось выяснить, что памятник Ломоносову стоит на 34 сантиметра ближе к физическому факультету, чем к химическому.

‼️С участниками были переводчики на английский и китайский языки, поэтому квест-экскурсия прошла максимально комфортно для всех.

У Международного центра Студенческого Союза МГУ заготовлено ещё много интересных мероприятий, в которых можно принять участие.

Ждём вас! 🤍

__________________________________________________________________

🔍QUEST-EXCURSION on the territory of MSU

🎉On Wednesday, April 12, as part of the Lomonosov-2023 conference, [club193162019|Student International Center MSU]  held a quest-excursion of the territory of Moscow State University.

🧭Students went a long way from the main building - «the heart» of Moscow State University to Sparrow Hills. To complete the quest, they guessed riddles, the answers to which allowed them to move forward to the next destinations, repeated photos from the MSU websites, listened to stories about different faculties and completed other tasks prepared for them.

💡 There were some interesting facts too!  Students managed to find out that the monument to Lomonosov is 34 centimeters closer to the Faculty of Physics than to the Faculty of Chemistry.

‼️The participants were accompanied by translators into English and Chinese, so the quest-excursion was as comfortable as possible for everyone.

Student International Center MSU has prepared many more interesting events in which you can take part.

We are waiting for you! 🤍

#Конференция_Ломоносов #Ломоносов #Отдел_организации_мероприятий #Семья_МЦ #InternationalMSU #МГУ #MSU",0,1562,1681395343
24,-219600015,2,1,"📢Друзья📢 
 
Мы напоминаем о том, что Оргкомитет конкурса принимает ваши вопросы по игровому делу и процедурам проведения Конкурса до 16 апреля 2023 г. 
 
Ответы на вопросы будут опубликованы в группе ВКонтакте и разосланы капитанам зарегистрированных команд. 
 
✉ По всем вопросам можно обратиться: 
 
1) на электронную почту Конкурса: sportarbitrationcompetition@gmail.com 
 
2) в чат группы: https://vk.me/join/AJQ1dwmseCZl5XyNo3ol241z 
 
Не стесняйтесь связаться с нами! 
 
#вшэ #мгу #рмоу #конкурс #право #спорт #арбитраж",0,48,1681395184
